domain	canonical_index	key	state	method	roots	stems	specifications	operations_or_cases	text	transliteration_diacritics	unicode_nfc	official_evidence	audit_note
cutlet	11	ash	VERIFIED_STATIC	DERIVATIONAL_COMPOSITION	GÇ+ŽX	3+1	OBJ+BSC	OGN:ŽX	ugçila ažxaloi	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:GÇ/ŽX;CASE:OGN	ASH_REMAINS_FROM_BURNING
cutlet	12	wheat	VERIFIED_STATIC	DERIVATIONAL_TAXONOMIC	BT	1	BSC	TXN/3 Type-2	abtaleibva	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:BT;AFFIX:TXN/3-T2	WHEAT_TXN3_TRITICUM
cutlet	13	river	VERIFIED_STATIC	LEXICAL	LZ	2	BSC	NONE	elzala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:LZ;MORPHOLOGY:STEM2/BSC	DIRECT_LEXICAL
cutlet	14	laughter	VERIFIED_STATIC	LEXICAL	JW	1	BSC	NONE	ajwala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:JW;MORPHOLOGY:STEM1/BSC	DIRECT_LEXICAL
cutlet	15	akkad	VERIFIED_STATIC	TRANSLITERATION	PROPER_NAME			PROPER_NAME_PHONETIC_RENDERING	akkad	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	APPENDICES:PROPER_NAME_RENDERING;PHONOLOGY;ORACC:AKKAD	PROPER_NAME_NATIVE_AKKAD_GEMINATE
cutlet	16	horn	VERIFIED_STATIC	LEXICAL	NZG	3	BSC	NONE	unzgala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:NZG;MORPHOLOGY:STEM3/BSC	DIRECT_LEXICAL
cutlet	17	empty_jug	VERIFIED_STATIC	DERIVATIONAL_COMPOSITION	ŠGL+ŠḐ	1+2	OBJ+CTE	DSP:ŠḐ	ašglila ešḑälä’ä	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:ŠGL/ŠḐ;CASE:DSP	EMPTY_JUG_PITCHER_EMPTY_STATE
month	1	mud	VERIFIED_STATIC	DERIVATIONAL	NDW	1	BSC	FNS/4 Type-2	andwaleuvsa	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:NDW;AFFIX:FNS/4-T2	PASTE_STATE_FNS4
month	2	pomegranate	VERIFIED_STATIC	DERIVATIONAL	ŇŇP	1	BSC	EPP/3 Type-2	aňňpaleikca	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:ŇŇP;AFFIX:EPP/3-T2	FRUIT_POMEGRANATE
month	3	elbow	VERIFIED_STATIC	DERIVATIONAL_CONCATENATION	CM+ŢŘ	2+1	BSC+BSC	CONCAT:T2+FORMAT:THM	hwecmala-aţřala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:CM/ŢŘ;CONCATENATION:TYPE2/THM	ELBOW_CM_ŢŘ_T2_THM_NO_UNSUPPORTED_PRN
month	4	envy	VERIFIED_STATIC	LEXICAL	ŘŘN	1	BSC	NONE	ařřnala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:ŘŘN;MORPHOLOGY:STEM1/BSC	DIRECT_LEXICAL
month	5	eridu	VERIFIED_STATIC	TRANSLITERATION	PROPER_NAME			PROPER_NAME_PHONETIC_RENDERING	eridu	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	APPENDICES:PROPER_NAME_RENDERING;PHONOLOGY	PROPER_NAME_NATIVE_PHONETIC
month	6	toothpaste	VERIFIED_STATIC	DERIVATIONAL_COMPOSITION	GDR+DŘ	2+1	CTE+BSC	PUR:DŘ	egdräla adřalie	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:GDR/DŘ;CASE:PUR	TOOTHPASTE_PASTE_PUR_TOOTH
month	7	three_parts_of_five	VERIFIED_STATIC	DERIVATIONAL_NUMERIC	Z+ST	1+1	BSC+OBJ	PAR:DENOMINATOR	azala astilui	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	NUMBERS:Z=3/ST=5;CASE:PAR	FRACTION_3_5_PAR_NO_OLD_KŘ
month	8	karshumab	VERIFIED_STATIC	TRANSLITERATION	PROPER_NAME			PROPER_NAME_PHONETIC_RENDERING	karšumab	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	APPENDICES:PROPER_NAME_RENDERING;PHONOLOGY	PROPER_NAME_NATIVE_PHONETIC
month	9	tiger	VERIFIED_STATIC	LEXICAL	RRW	1	BSC	NONE	arrwala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:RRW;MORPHOLOGY:STEM1/BSC	DIRECT_LEXICAL
month	10	tin	VERIFIED_STATIC	LEXICAL	ŽPR	1	BSC	NONE	ažprala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:ŽPR;MATERIAL_ROOT_PATTERN	DIRECT_MATERIAL
month	11	fog	VERIFIED_STATIC	DERIVATIONAL_CONCATENATION	KTH+FTH	2+3	LOC+BSC	CONCAT:T2+FORMAT:ULTIMATE_STRESS	hwekthaliá-ufthala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:KTH/FTH;CONCATENATION	FORMAT_STRESS_REAUDITED
month	12	frankincense	VERIFIED_STATIC	DERIVATIONAL_COMPOSITION	ÇPL+ŇSXW	3+1	OBJ+BSC	OGN:ŇSXW	uçplila aňsxwaloi	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:ÇPL/ŇSXW;CASE:OGN	FRANKINCENSE_RESIN_BOSWELLIA
month	13	spindle	VERIFIED_STATIC	DERIVATIONAL	RPĻ	1	BSC	TDM/1 Type-2	arpļalaičva	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:RPĻ;AFFIX:TDM/1-T2	SPINDLE_TDM1
month	14	rib	VERIFIED_STATIC	LEXICAL	LÇFL	0	BSC	STEM0_AMALGAMATION	olçflala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:LÇFL;MORPHOPHONOLOGY:STEM0	GENERIC_RIB_STEM_AMBIGUITY
month	15	carob	VERIFIED_STATIC	DERIVATIONAL	ŘTL	1	BSC	EPP/3 Type-2	ařtlaleikca	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:ŘTL;AFFIX:EPP/3-T2	FRUIT_CAROB
month	16	uruk	VERIFIED_STATIC	TRANSLITERATION	PROPER_NAME			PROPER_NAME_PHONETIC_RENDERING	uruk	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	APPENDICES:PROPER_NAME_RENDERING;PHONOLOGY	PROPER_NAME_NATIVE_PHONETIC
month	17	shame	VERIFIED_STATIC	LEXICAL	VXW	1	BSC	NONE	avxwala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:VXW;MORPHOLOGY:STEM1/BSC	DIRECT_LEXICAL
month	18	camel	VERIFIED_STATIC	LEXICAL	ŇĻW	0	BSC	STEM0_AMALGAMATION	oňļwala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:ŇĻW;MORPHOPHONOLOGY:STEM0	GENERIC_CAMEL_STEM_SPLIT
month	19	copper	VERIFIED_STATIC	LEXICAL	MẒ	1	BSC	NONE	amẓala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:MẒ;MATERIAL_ROOT_PATTERN	MẒ_OFFICIAL_RECHECK_PDF_FALSE_ALARM
month	20	well	VERIFIED_STATIC	LEXICAL	ŢR	2	BSC	NONE	eţrala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:ŢR;MORPHOLOGY:STEM2/BSC	DIRECT_LEXICAL
month	21	yolk	VERIFIED_STATIC	DERIVATIONAL_COMPOSITION	XW+ḐNW+ML	2+1+1	BSC+BSC+BSC	GEN:ḐNW+DSP:ML	exwala aḑnwalei amlalä’ä	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:XW/ḐNW/ML;CASE:GEN/DSP	YOLK_INTERNAL_EGG_YELLOW_ḐNW_NOT_DNW
month	22	star	VERIFIED_STATIC	LEXICAL	LXW	1	BSC	NONE	alxwala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:LXW;MORPHOLOGY:STEM1/BSC	DIRECT_LEXICAL
month	23	honey	VERIFIED_STATIC	LEXICAL	MNW	1	BSC	NONE	amnwala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:MNW;MATERIAL_ROOT_PATTERN	DIRECT_MATERIAL
month	24	spleen	VERIFIED_STATIC	LEXICAL	PFL	3	BSC	NONE	upflala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:PFL;MORPHOLOGY:STEM3/BSC	DIRECT_LEXICAL
month	25	limestone	VERIFIED_STATIC	LEXICAL	GGL	1	BSC	NONE	agglala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:GGL;MORPHOLOGY:STEM1/BSC	DIRECT_LEXICAL
month	26	joy	VERIFIED_STATIC	LEXICAL	NTR	1	BSC	NONE	antrala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:NTR;MORPHOLOGY:STEM1/BSC	DIRECT_LEXICAL
month	27	fig	VERIFIED_STATIC	DERIVATIONAL	ŘÇ	1	BSC	EPP/3 Type-2	ařçaleikca	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:ŘÇ;AFFIX:EPP/3-T2	FRUIT_FIG
month	28	nineveh	VERIFIED_STATIC	TRANSLITERATION	PROPER_NAME			PROPER_NAME_PHONETIC_RENDERING	ninua	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	APPENDICES:PROPER_NAME_RENDERING;PHONOLOGY;ORACC:NINUA	PROPER_NAME_NATIVE_NINUA
month	29	frog	VERIFIED_STATIC	LEXICAL	NXL	1	BSC	NONE	anxlala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:NXL;MORPHOLOGY:STEM1/BSC	DIRECT_LEXICAL
month	30	pitch	VERIFIED_STATIC	LEXICAL	NTÇ	1	BSC	NONE	antçala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:NTÇ;MATERIAL_ROOT_PATTERN	DIRECT_MATERIAL
month	31	candle	VERIFIED_STATIC	DERIVATIONAL_COMPOSITION	LLW+MTÇ	2+1	OBJ+BSC	CPS:MTÇ	ellwila amtçali’i	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:LLW/MTÇ;CASE:CPS	LIGHT_SOURCE_WAX
month	32	closed_door	VERIFIED_STATIC	DERIVATIONAL_AFFIX	PŘ	1	BSC	MDI/3 Type-2 + PRV/9 Type-1	apřaleigḑuňřa	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:PŘ;AFFIX:MDI-gḑ/3-T2+PRV-ňř/9-T1	DOOR_BLOCKING_DEVICE_PRV9_MDI3_GḐ_VERIFIED
month	33	sesame	VERIFIED_STATIC	LEXICAL	ŘŽPL	1	BSC	NONE	ařžplala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:ŘŽPL;MORPHOLOGY:STEM1/BSC	DIRECT_LEXICAL
month	34	nape	VERIFIED_STATIC	DERIVATIONAL_AFFIX	ŇW	1	BSC	S17/6 Type-2	aňwaloukfa	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:ŇW;AFFIX:S17-kf/6-T2	NAPE_NECK_REAR_S17_T2_D6
month	35	silver	VERIFIED_STATIC	LEXICAL	RĻ	1	BSC	NONE	ařļala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:RĻ;MATERIAL_ROOT_PATTERN	RĻ_OFFICIAL_RECHECK_PDF_FALSE_ALARM
month	36	lily	VERIFIED_STATIC	LEXICAL	LSW	1	BSC	NONE	alswala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:LSW;MORPHOLOGY:STEM1/BSC	DIRECT_LEXICAL
month	37	storm	VERIFIED_STATIC	LEXICAL	FKH	2	BSC	NONE	efkhala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:FKH;MORPHOLOGY:STEM2/BSC	DIRECT_LEXICAL
month	38	donkey	VERIFIED_STATIC	LEXICAL	XC	2	BSC	NONE	excala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:XC;MORPHOLOGY:STEM2/BSC	DONKEY_GENERIC_STEM
month	39	flour	VERIFIED_STATIC	DERIVATIONAL	ČKW	1	BSC	DFB/8 Type-2	ačkwaliulksa	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:ČKW;AFFIX:DFB/8-T2	FLOUR_DFB8_EXPLICIT_EXAMPLE
month	40	regret	VERIFIED_STATIC	LEXICAL	ZGL	1	BSC	NONE	azglala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:ZGL;MORPHOLOGY:STEM1/BSC	DIRECT_LEXICAL
month	41	babylon	VERIFIED_STATIC	TRANSLITERATION	PROPER_NAME			PROPER_NAME_PHONETIC_RENDERING	babili	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	APPENDICES:PROPER_NAME_RENDERING;PHONOLOGY;ORACC:BABILI	PROPER_NAME_NATIVE_BABILI
month	42	tongue	VERIFIED_STATIC	LEXICAL	NKW	1	BSC	NONE	ankwala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:NKW;MORPHOLOGY:STEM1/BSC	DIRECT_LEXICAL
month	43	flax	VERIFIED_STATIC	LEXICAL	RMÇM	1	BSC	NONE	armçmala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:RMÇM;MORPHOLOGY:STEM1/BSC	DIRECT_LEXICAL
month	44	salt	VERIFIED_STATIC	LEXICAL	FD	1	BSC	NONE	afdala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:FD;MATERIAL_ROOT_PATTERN	DIRECT_MATERIAL
month	45	pear	VERIFIED_STATIC	DERIVATIONAL	NŽ	3	BSC	EPP/3 Type-2	unžaleikca	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:NŽ;AFFIX:EPP/3-T2	FRUIT_PEAR
month	46	bow	VERIFIED_STATIC	LEXICAL	ŠXW	1	BSC	NONE	ašxwala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:ŠXW;MORPHOLOGY:STEM1/BSC	DIRECT_LEXICAL
month	47	sand	VERIFIED_STATIC	LEXICAL	NTF	1	BSC	NONE	antfala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:NTF;MATERIAL_ROOT_PATTERN	DIRECT_MATERIAL
