kind	canonicalIndex	canonicalText	formation
MONTH	25	ⲗⲓⲑⲟⲥ ⲛⲁⲥⲃⲉⲥⲧⲟⲥ	SEMANTIC_PHRASE
MONTH	26	ⲣⲁϣⲉ	SEMANTIC_NATIVE
MONTH	27	ⲕⲛⲧⲉ	SEMANTIC_NATIVE
MONTH	28	Ⲛⲓⲛⲉⲩⲏ	PROPER_NAME_TRANSLITERATION
MONTH	29	ⲕⲣⲟⲩⲣ	SEMANTIC_NATIVE
MONTH	30	ⲁⲥⲫⲁⲗⲧⲟⲥ	SEMANTIC_GREEK_LOAN
MONTH	31	ⲕⲏⲣⲓⲟⲛ	SEMANTIC_GREEK_LOAN
MONTH	32	ⲑⲩⲣⲁ ⲉⲥϣⲟⲧⲙ	SEMANTIC_PHRASE
MONTH	33	ⲥⲏⲥⲁⲙⲟⲛ	SEMANTIC_GREEK_LOAN
MONTH	34	ⲓⲛⲓⲟⲛ	SEMANTIC_GREEK_LOAN
MONTH	35	ϩⲁⲧ	SEMANTIC_NATIVE
MONTH	36	ⲕⲣⲓⲛⲟⲛ	SEMANTIC_GREEK_LOAN
MONTH	37	ⲗⲁⲓⲗⲁⲯ	SEMANTIC_GREEK_LOAN
MONTH	38	ⲟⲛⲟⲥ	SEMANTIC_GREEK_LOAN
MONTH	39	ⲁⲗⲉⲩⲣⲟⲛ	SEMANTIC_GREEK_LOAN
MONTH	40	ⲙⲉⲧⲁⲛⲟⲓⲁ	SEMANTIC_GREEK_LOAN
MONTH	41	Ⲃⲁⲃⲩⲗⲱⲛ	PROPER_NAME_TRANSLITERATION
MONTH	42	ⲗⲁⲥ	SEMANTIC_NATIVE
MONTH	43	ⲗⲓⲛⲟⲛ	SEMANTIC_GREEK_LOAN
MONTH	44	ϩⲙⲟⲩ	SEMANTIC_NATIVE
MONTH	45	ⲁⲡⲓⲟⲛ	SEMANTIC_GREEK_LOAN
MONTH	46	ⲧⲟⲝⲟⲛ	SEMANTIC_GREEK_LOAN
MONTH	47	ⲁⲙⲙⲟⲥ	SEMANTIC_GREEK_LOAN
